Account,Security,Order ID,Trade Date,Trade Time,Side,Liquidity,Route,Quantity,Price,Lime Fee,ECN Fee,ACT Fee,SEC Fee,NASD Fee,Rounded Order Commission
MRTTRADING1,TLT,'39230559488679',9/18/2014,15:58:53,1,Removed,BATSY,100,113.15,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,SPY,'39273509161639',9/18/2014,15:58:53,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,XLI,'39307868900007',9/18/2014,15:58:53,3,Removed,EDGAA,100,54.77,0.08,-0.02,0,0.12,0.02,0.2
MRTTRADING1,RSX,'39410948115111',9/18/2014,15:58:53,3,Removed,BATSY,100,23.7,0.08,-0.16,0,0.05,0.02,-0.01
MRTTRADING1,RSX,'39428127984295',9/18/2014,15:58:53,3,Removed,EDGAA,30,23.7,0.024,-0.006,0,0.02,0.01,0.14
MRTTRADING1,RSX,'39428127984295',9/18/2014,15:58:53,3,Removed,EDGAA,70,23.7,0.056,-0.014,0,0.04,0.01,0
MRTTRADING1,RSX,'39436717918887',9/18/2014,15:58:53,3,Removed,BSX,87,23.7,0.0696,-0.0348,0,0.05,0.02,0.13
MRTTRADING1,RSX,'39436717918887',9/18/2014,15:58:53,3,Removed,BSX,13,23.7,0.0104,-0.0052,0,0.01,0.01,0
MRTTRADING1,SPY,'39548387068583',9/18/2014,15:58:53,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,RSX,'39677236087463',9/18/2014,15:58:53,3,Removed,BATSY,37,23.7,0.0296,-0.0592,0,0.02,0.01,-0.01
MRTTRADING1,RSX,'39677236087463',9/18/2014,15:58:53,3,Removed,BATSY,63,23.7,0.0504,-0.1008,0,0.03,0.01,0
MRTTRADING1,RSX,'39694415956647',9/18/2014,15:58:53,3,Removed,EDGAA,30,23.7,0.024,-0.006,0,0.02,0.01,0.14
MRTTRADING1,RSX,'39694415956647',9/18/2014,15:58:53,3,Removed,EDGAA,70,23.7,0.056,-0.014,0,0.04,0.01,0
MRTTRADING1,RSX,'39703005891239',9/18/2014,15:58:53,3,Removed,BSX,100,23.7,0.08,-0.04,0,0.05,0.02,0.11
MRTTRADING1,SPY,'39806085106343',9/18/2014,15:58:53,1,Removed,BATSY,100,201.75,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,SPY,'39823264975527',9/18/2014,15:58:53,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,RSX,'39952113994407',9/18/2014,15:58:53,3,Removed,BATSY,100,23.7,0.08,-0.16,0,0.05,0.02,-0.01
MRTTRADING1,RSX,'39960703928999',9/18/2014,15:58:53,3,Removed,EDGAA,100,23.7,0.08,-0.02,0,0.05,0.02,0.13
MRTTRADING1,RSX,'39977883798183',9/18/2014,15:58:53,3,Removed,BSX,100,23.7,0.08,-0.04,0,0.05,0.02,0.11
MRTTRADING1,SPY,'40080963013287',9/18/2014,15:58:53,1,Removed,BATSY,100,201.75,0.08,-0.16,0,0,0,-0.08
